epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,7233.74,0.85649,1.6385,0.88499,1.19509,0.81002,0.66066,0.73592,0.5245,0.78159,0.65379,0.71226,0.45649,1.06556,1.83792,1.02097,1.22848,0.0089308,0.0089308,0.0089308
56,7372.83,0.83329,1.58227,0.85279,1.17047,0.82745,0.67431,0.74789,0.53108,0.8193,0.66062,0.72444,0.45636,1.04176,1.79084,1.02089,1.21473,0.008911,0.008911,0.008911
57,7512.33,0.84737,1.60463,0.87353,1.18073,0.80302,0.70352,0.75714,0.54524,0.79192,0.68779,0.73166,0.4655,1.04568,1.80164,0.98769,1.20509,0.0088912,0.0088912,0.0088912
58,7651.71,0.83945,1.57391,0.8675,1.18628,0.85583,0.68594,0.7736,0.55096,0.86342,0.67345,0.75692,0.47328,1.03266,1.74627,0.97004,1.19936,0.0088714,0.0088714,0.0088714
59,7790.93,0.83072,1.61917,0.84964,1.18032,0.86052,0.64524,0.75355,0.54264,0.84149,0.64662,0.73494,0.46341,1.03157,1.7736,0.99488,1.19409,0.0088516,0.0088516,0.0088516
60,7931.08,0.82361,1.5547,0.84746,1.16295,0.82961,0.67109,0.75884,0.54148,0.82103,0.66415,0.73782,0.46868,1.02663,1.72062,0.99812,1.1979,0.0088318,0.0088318,0.0088318
61,8070.79,0.81303,1.55453,0.82684,1.16009,0.81172,0.69194,0.75804,0.54208,0.78979,0.67808,0.72427,0.46441,1.0262,1.81834,0.96704,1.20382,0.008812,0.008812,0.008812
62,8211.33,0.82277,1.57124,0.85217,1.17416,0.84538,0.70052,0.76911,0.54789,0.82808,0.68618,0.73933,0.47264,1.00163,1.77485,0.96694,1.17762,0.0087922,0.0087922,0.0087922
63,8350.77,0.82177,1.56427,0.82396,1.16274,0.8367,0.69913,0.76421,0.55634,0.82648,0.69398,0.74808,0.48518,0.98776,1.69231,0.95481,1.16986,0.0087724,0.0087724,0.0087724
64,8490.16,0.80775,1.50086,0.8197,1.15623,0.82367,0.6938,0.77528,0.55309,0.80554,0.68976,0.75118,0.47652,0.99586,1.75116,0.97212,1.17856,0.0087526,0.0087526,0.0087526
65,8631.8,0.79703,1.53334,0.81398,1.14853,0.83433,0.67946,0.76027,0.5417,0.83081,0.67484,0.75304,0.48329,1.02624,1.7029,1.00745,1.19347,0.0087328,0.0087328,0.0087328
66,8772.62,0.80541,1.54749,0.81551,1.14607,0.83647,0.69241,0.77125,0.55669,0.83275,0.67715,0.74761,0.47824,0.99139,1.70447,0.9241,1.15426,0.008713,0.008713,0.008713
67,8911.58,0.80783,1.53901,0.81457,1.16083,0.80863,0.6958,0.77395,0.54379,0.79135,0.6827,0.74666,0.47233,1.01065,1.71501,0.96566,1.19147,0.0086932,0.0086932,0.0086932
68,9051.47,0.81516,1.56303,0.84513,1.15972,0.79714,0.69426,0.76036,0.54686,0.79331,0.6901,0.74182,0.47533,0.99545,1.67123,0.97216,1.18718,0.0086734,0.0086734,0.0086734
69,9190.49,0.78096,1.48579,0.80578,1.13703,0.84134,0.69656,0.77302,0.55695,0.82737,0.685,0.74879,0.47352,1.00022,1.75283,0.97322,1.17114,0.0086536,0.0086536,0.0086536
70,9330.25,0.7991,1.52178,0.81368,1.14342,0.85658,0.66096,0.75856,0.54574,0.85497,0.65449,0.74126,0.46705,1.00023,1.68189,0.97469,1.16632,0.0086338,0.0086338,0.0086338
71,9475.07,0.81029,1.51928,0.81359,1.15424,0.88393,0.68224,0.76192,0.56018,0.87563,0.66836,0.74232,0.48708,0.99426,1.64406,0.9795,1.15754,0.008614,0.008614,0.008614
72,9621.12,0.76975,1.45275,0.78623,1.13255,0.86139,0.66836,0.7681,0.55191,0.85713,0.6642,0.7497,0.4772,1.00535,1.73872,0.98842,1.18495,0.0085942,0.0085942,0.0085942
73,9764.85,0.81706,1.48721,0.81672,1.1658,0.845,0.69344,0.77752,0.56159,0.84121,0.68964,0.76313,0.48487,0.99791,1.62818,0.93426,1.16313,0.0085744,0.0085744,0.0085744
74,9908.72,0.80167,1.5017,0.79776,1.14896,0.8405,0.68492,0.76532,0.55382,0.84147,0.68316,0.75406,0.48358,0.99224,1.6219,0.94768,1.1622,0.0085546,0.0085546,0.0085546
75,10051.7,0.80704,1.51721,0.80519,1.1518,0.82605,0.70999,0.77489,0.55901,0.81968,0.70259,0.75674,0.47724,0.96779,1.68359,0.92465,1.13866,0.0085348,0.0085348,0.0085348
76,10198.2,0.76799,1.45249,0.77502,1.12685,0.86683,0.71508,0.80186,0.57677,0.85225,0.70305,0.77732,0.49115,0.96899,1.64297,0.88552,1.1339,0.008515,0.008515,0.008515
77,10342.5,0.78077,1.47095,0.80463,1.13879,0.86012,0.69114,0.786,0.57249,0.85309,0.69026,0.77063,0.4965,0.98922,1.65229,0.92732,1.15416,0.0084952,0.0084952,0.0084952
78,10485.3,0.78407,1.47051,0.78864,1.1425,0.87333,0.69103,0.79006,0.58162,0.86912,0.68918,0.77796,0.49855,0.95608,1.60673,0.89706,1.12593,0.0084754,0.0084754,0.0084754
